2020-11-30 00:12:54 status unpacked libfluidsynth1:armhf 1.1.11-4
2020-11-30 00:12:54 install libjpeg62:armhf <none> 1:6b2-3
2020-11-30 00:12:54 status half-installed libjpeg62:armhf 1:6b2-3
2020-11-30 00:12:54 status unpacked libjpeg62:armhf 1:6b2-3
2020-11-30 00:12:54 install libmad0:armhf <none> 0.15.1b-10ubuntu1
2020-11-30 00:12:54 status half-installed libmad0:armhf 0.15.1b-10ubuntu1
2020-11-30 00:12:54 status unpacked libmad0:armhf 0.15.1b-10ubuntu1
2020-11-30 00:12:55 install libpnglite0:armhf <none> 0.1.17-2
2020-11-30 00:12:55 status half-installed libpnglite0:armhf 0.1.17-2
2020-11-30 00:12:55 status unpacked libpnglite0:armhf 0.1.17-2
2020-11-30 00:12:55 install libsasl2-modules:armhf <none> 2.1.27+dfsg-1ubuntu0.1
2020-11-30 00:12:55 status half-installed libsasl2-modules:armhf 2.1.27+dfsg-1ubuntu0.1
2020-11-30 00:12:55 status unpacked libsasl2-modules:armhf 2.1.27+dfsg-1ubuntu0.1
2020-11-30 00:12:55 install libogg-dbg:armhf <none> 1.3.4-0ubuntu1
2020-11-30 00:12:55 status half-installed libogg-dbg:armhf 1.3.4-0ubuntu1
2020-11-30 00:12:55 status unpacked libogg-dbg:armhf 1.3.4-0ubuntu1
2020-11-30 00:12:55 install libspeechd2:armhf <none> 0.9.1-2
2020-11-30 00:12:55 status half-installed libspeechd2:armhf 0.9.1-2
2020-11-30 00:12:55 status unpacked libspeechd2:armhf 0.9.1-2
2020-11-30 00:12:55 startup packages configure
2020-11-30 00:12:55 configure libpsl5:armhf 0.20.2-2 <none>
2020-11-30 00:12:55 status unpacked libpsl5:armhf 0.20.2-2
2020-11-30 00:12:55 status half-configured libpsl5:armhf 0.20.2-2
2020-11-30 00:12:55 status installed libpsl5:armhf 0.20.2-2
2020-11-30 00:12:55 configure libjpeg62:armhf 1:6b2-3 <none>
2020-11-30 00:12:55 status unpacked libjpeg62:armhf 1:6b2-3
2020-11-30 00:12:55 status half-configured libjpeg62:armhf 1:6b2-3
2020-11-30 00:12:55 status installed libjpeg62:armhf 1:6b2-3
2020-11-30 00:12:55 configure libreadline8:armhf 8.0-3 <none>
2020-11-30 00:12:55 status unpacked libreadline8:armhf 8.0-3
2020-11-30 00:12:55 status half-configured libreadline8:armhf 8.0-3
2020-11-30 00:12:55 status installed libreadline8:armhf 8.0-3
2020-11-30 00:12:55 configure libsqlite3-0:armhf 3.29.0-2ubuntu0.3 <none>
2020-11-30 00:12:55 status unpacked libsqlite3-0:armhf 3.29.0-2ubuntu0.3
2020-11-30 00:12:56 status half-configured libsqlite3-0:armhf 3.29.0-2ubuntu0.3
2020-11-30 00:12:56 status installed libsqlite3-0:armhf 3.29.0-2ubuntu0.3
2020-11-30 00:12:56 configure libsasl2-modules:armhf 2.1.27+dfsg-1ubuntu0.1 <none>
2020-11-30 00:12:56 status unpacked libsasl2-modules:armhf 2.1.27+dfsg-1ubuntu0.1
2020-11-30 00:12:56 status half-configured libsasl2-modules:armhf 2.1.27+dfsg-1ubuntu0.1
2020-11-30 00:12:56 status installed libsasl2-modules:armhf 2.1.27+dfsg-1ubuntu0.1
2020-11-30 00:12:56 configure libnghttp2-14:armhf 1.39.2-1 <none>
2020-11-30 00:12:56 status unpacked libnghttp2-14:armhf 1.39.2-1
2020-11-30 00:12:56 status half-configured libnghttp2-14:armhf 1.39.2-1
2020-11-30 00:12:56 status installed libnghttp2-14:armhf 1.39.2-1
2020-11-30 00:12:56 configure libpnglite0:armhf 0.1.17-2 <none>
2020-11-30 00:12:56 status unpacked libpnglite0:armhf 0.1.17-2
2020-11-30 00:12:56 status half-configured libpnglite0:armhf 0.1.17-2
2020-11-30 00:12:56 status installed libpnglite0:armhf 0.1.17-2
2020-11-30 00:12:56 configure libspeechd2:armhf 0.9.1-2 <none>
2020-11-30 00:12:56 status unpacked libspeechd2:armhf 0.9.1-2
2020-11-30 00:12:56 status half-configured libspeechd2:armhf 0.9.1-2
2020-11-30 00:12:56 status installed libspeechd2:armhf 0.9.1-2
2020-11-30 00:12:56 configure liba52-0.7.4:armhf 0.7.4-19 <none>
2020-11-30 00:12:56 status unpacked liba52-0.7.4:armhf 0.7.4-19
2020-11-30 00:12:56 status half-configured liba52-0.7.4:armhf 0.7.4-19
2020-11-30 00:12:56 status installed liba52-0.7.4:armhf 0.7.4-19
2020-11-30 00:12:56 configure libogg-dbg:armhf 1.3.4-0ubuntu1 <none>
2020-11-30 00:12:56 status unpacked libogg-dbg:armhf 1.3.4-0ubuntu1
2020-11-30 00:12:56 status half-configured libogg-dbg:armhf 1.3.4-0ubuntu1
2020-11-30 00:12:56 status installed libogg-dbg:armhf 1.3.4-0ubuntu1
2020-11-30 00:12:56 configure librtmp1:armhf 2.4+20151223.gitfa8646d.1-2 <none>
2020-11-30 00:12:56 status unpacked librtmp1:armhf 2.4+20151223.gitfa8646d.1-2
2020-11-30 00:12:56 status half-configured librtmp1:armhf 2.4+20151223.gitfa8646d.1-2
2020-11-30 00:12:56 status installed librtmp1:armhf 2.4+20151223.gitfa8646d.1-2
2020-11-30 00:12:56 configure libfaad2:armhf 2.8.8-3.2 <none>
2020-11-30 00:12:56 status unpacked libfaad2:armhf 2.8.8-3.2
2020-11-30 00:12:56 status half-configured libfaad2:armhf 2.8.8-3.2
2020-11-30 00:12:56 status installed libfaad2:armhf 2.8.8-3.2
2020-11-30 00:12:56 configure libssh-4:armhf 0.9.0-1ubuntu1.4 <none>
2020-11-30 00:12:56 status unpacked libssh-4:armhf 0.9.0-1ubuntu1.4
2020-11-30 00:12:56 status half-configured libssh-4:armhf 0.9.0-1ubuntu1.4
2020-11-30 00:12:56 status installed libssh-4:armhf 0.9.0-1ubuntu1.4
2020-11-30 00:12:56 configure libroken18-heimdal:armhf 7.5.0+dfsg-3build1 <none>
2020-11-30 00:12:56 status unpacked libroken18-heimdal:armhf 7.5.0+dfsg-3build1
2020-11-30 00:12:56 status half-configured libroken18-heimdal:armhf 7.5.0+dfsg-3build1
2020-11-30 00:12:56 status installed libroken18-heimdal:armhf 7.5.0+dfsg-3build1
2020-11-30 00:12:56 configure libmad0:armhf 0.15.1b-10ubuntu1 <none>
2020-11-30 00:12:56 status unpacked libmad0:armhf 0.15.1b-10ubuntu1
2020-11-30 00:12:56 status half-configured libmad0:armhf 0.15.1b-10ubuntu1
2020-11-30 00:12:56 status installed libmad0:armhf 0.15.1b-10ubuntu1
2020-11-30 00:12:56 configure libdb5.3:armhf 5.3.28+dfsg1-0.6ubuntu1 <none>
2020-11-30 00:12:56 status unpacked libdb5.3:armhf 5.3.28+dfsg1-0.6ubuntu1
2020-11-30 00:12:56 status half-configured libdb5.3:armhf 5.3.28+dfsg1-0.6ubuntu1
2020-11-30 00:12:56 status installed libdb5.3:armhf 5.3.28+dfsg1-0.6ubuntu1
2020-11-30 00:12:56 configure libheimbase1-heimdal:armhf 7.5.0+dfsg-3build1 <none>
2020-11-30 00:12:56 status unpacked libheimbase1-heimdal:armhf 7.5.0+dfsg-3build1
2020-11-30 00:12:56 status half-configured libheimbase1-heimdal:armhf 7.5.0+dfsg-3build1
2020-11-30 00:12:56 status installed libheimbase1-heimdal:armhf 7.5.0+dfsg-3build1
2020-11-30 00:12:56 configure libfluidsynth1:armhf 1.1.11-4 <none>
2020-11-30 00:12:56 status unpacked libfluidsynth1:armhf 1.1.11-4
2020-11-30 00:12:56 status half-configured libfluidsynth1:armhf 1.1.11-4
2020-11-30 00:12:56 status installed libfluidsynth1:armhf 1.1.11-4
2020-11-30 00:12:56 configure libasn1-8-heimdal:armhf 7.5.0+dfsg-3build1 <none>
2020-11-30 00:12:56 status unpacked libasn1-8-heimdal:armhf 7.5.0+dfsg-3build1
2020-11-30 00:12:56 status half-configured libasn1-8-heimdal:armhf 7.5.0+dfsg-3build1
2020-11-30 00:12:56 status installed libasn1-8-heimdal:armhf 7.5.0+dfsg-3build1
2020-11-30 00:12:56 configure libhcrypto4-heimdal:armhf 7.5.0+dfsg-3build1 <none>
2020-11-30 00:12:56 status unpacked libhcrypto4-heimdal:armhf 7.5.0+dfsg-3build1
2020-11-30 00:12:56 status half-configured libhcrypto4-heimdal:armhf 7.5.0+dfsg-3build1
2020-11-30 00:12:56 status installed libhcrypto4-heimdal:armhf 7.5.0+dfsg-3build1
2020-11-30 00:12:56 configure libsasl2-modules-db:armhf 2.1.27+dfsg-1ubuntu0.1 <none>
2020-11-30 00:12:56 status unpacked libsasl2-modules-db:armhf 2.1.27+dfsg-1ubuntu0.1
2020-11-30 00:12:56 status half-configured libsasl2-modules-db:armhf 2.1.27+dfsg-1ubuntu0.1
2020-11-30 00:12:56 status installed libsasl2-modules-db:armhf 2.1.27+dfsg-1ubuntu0.1
2020-11-30 00:12:56 configure libwind0-heimdal:armhf 7.5.0+dfsg-3build1 <none>
2020-11-30 00:12:56 status unpacked libwind0-heimdal:armhf 7.5.0+dfsg-3build1
2020-11-30 00:12:56 status half-configured libwind0-heimdal:armhf 7.5.0+dfsg-3build1
2020-11-30 00:12:56 status installed libwind0-heimdal:armhf 7.5.0+dfsg-3build1
2020-11-30 00:12:56 configure libsasl2-2:armhf 2.1.27+dfsg-1ubuntu0.1 <none>
2020-11-30 00:12:56 status unpacked libsasl2-2:armhf 2.1.27+dfsg-1ubuntu0.1
2020-11-30 00:12:56 status half-configured libsasl2-2:armhf 2.1.27+dfsg-1ubuntu0.1
2020-11-30 00:12:56 status installed libsasl2-2:armhf 2.1.27+dfsg-1ubuntu0.1
2020-11-30 00:12:56 configure libhx509-5-heimdal:armhf 7.5.0+dfsg-3build1 <none>
2020-11-30 00:12:56 status unpacked libhx509-5-heimdal:armhf 7.5.0+dfsg-3build1
2020-11-30 00:12:56 status half-configured libhx509-5-heimdal:armhf 7.5.0+dfsg-3build1
2020-11-30 00:12:56 status installed libhx509-5-heimdal:armhf 7.5.0+dfsg-3build1
2020-11-30 00:12:56 configure libkrb5-26-heimdal:armhf 7.5.0+dfsg-3build1 <none>
2020-11-30 00:12:56 status unpacked libkrb5-26-heimdal:armhf 7.5.0+dfsg-3build1
2020-11-30 00:12:56 status half-configured libkrb5-26-heimdal:armhf 7.5.0+dfsg-3build1
2020-11-30 00:12:56 status installed libkrb5-26-heimdal:armhf 7.5.0+dfsg-3build1
2020-11-30 00:12:56 configure libheimntlm0-heimdal:armhf 7.5.0+dfsg-3build1 <none>
2020-11-30 00:12:56 status unpacked libheimntlm0-heimdal:armhf 7.5.0+dfsg-3build1
2020-11-30 00:12:56 status half-configured libheimntlm0-heimdal:armhf 7.5.0+dfsg-3build1
2020-11-30 00:12:56 status installed libheimntlm0-heimdal:armhf 7.5.0+dfsg-3build1
2020-11-30 00:12:56 configure libgssapi3-heimdal:armhf 7.5.0+dfsg-3build1 <none>
2020-11-30 00:12:56 status unpacked libgssapi3-heimdal:armhf 7.5.0+dfsg-3build1
2020-11-30 00:12:56 status half-configured libgssapi3-heimdal:armhf 7.5.0+dfsg-3build1
2020-11-30 00:12:56 status installed libgssapi3-heimdal:armhf 7.5.0+dfsg-3build1
2020-11-30 00:12:56 configure libldap-2.4-2:armhf 2.4.48+dfsg-1ubuntu1.2 <none>
2020-11-30 00:12:56 status unpacked libldap-2.4-2:armhf 2.4.48+dfsg-1ubuntu1.2
2020-11-30 00:12:56 status half-configured libldap-2.4-2:armhf 2.4.48+dfsg-1ubuntu1.2
2020-11-30 00:12:57 status installed libldap-2.4-2:armhf 2.4.48+dfsg-1ubuntu1.2
2020-11-30 00:12:57 configure libcurl4:armhf 7.65.3-1ubuntu3.1 <none>
2020-11-30 00:12:57 status unpacked libcurl4:armhf 7.65.3-1ubuntu3.1
2020-11-30 00:12:57 status half-configured libcurl4:armhf 7.65.3-1ubuntu3.1
2020-11-30 00:12:57 status installed libcurl4:armhf 7.65.3-1ubuntu3.1
2020-11-30 00:12:57 trigproc libc-bin:arm64 2.30-0ubuntu2.2 <none>
2020-11-30 00:12:57 status half-configured libc-bin:arm64 2.30-0ubuntu2.2
2020-11-30 00:12:57 status installed libc-bin:arm64 2.30-0ubuntu2.2
2020-12-16 05:35:21 startup archives install
2020-12-16 05:35:23 install libmali-rk-bifrost-g31-rxp0-wayland-gbm:arm64 <none> 1.7-2+deb10
2020-12-16 05:35:23 status half-installed libmali-rk-bifrost-g31-rxp0-wayland-gbm:arm64 1.7-2+deb10
2020-12-16 05:35:34 status unpacked libmali-rk-bifrost-g31-rxp0-wayland-gbm:arm64 1.7-2+deb10
